Cacolo,-10.14962726,19.2600024,Angola
Caxito,-8.579542217,13.65998246,Angola
Camabatela,-8.189591859,15.37000728,Angola
Ndalatando,-9.299549948,14.90998368,Angola
Quibala,-10.72959186,14.97995357,Angola
Calulo,-9.999610577,14.90001013,Angola
Waku Kungo,-11.35952757,15.1199967,Angola
Songo,-7.349591452,14.84998734,Angola
Mbanza-Congo,-6.269605694,14.23999874,Angola
Nzeto,-7.229598776,12.86003129,Angola
Soyo,-6.129614239,12.36998368,Angola
Cabinda,-5.55962319,12.18999467,Angola
Calucinga,-11.31958169,16.19998246,Angola
Camacupa,-12.01959064,17.46998246,Angola
Cubal,-13.03958006,14.23999874,Angola
Mavinga,-15.7895414,20.36003861,Angola
Cuito Caunavale,-15.15960569,19.16998205,Angola
Luiana,-17.36954832,22.99998083,Angola
Ondjiva,-17.06961831,15.73003699,Angola
Chitado,-17.31962889,13.92001827,Angola
Chibemba,-15.74959552,14.0800085,Angola
Chibia,-15.1896297,13.69000647,Angola
Quipungo,-14.82954832,14.55000565,Angola
Luau,-10.7095414,22.23000199,Angola
Cangamba,-13.69959145,19.86001745,Angola
Lumbala Nguimbo,-14.09961871,21.44002437,Angola
Cazombo,-11.88957273,22.90003861,Angola
Dundo,-7.380028871,20.82998409,Angola
Ambriz,-7.85498696,13.12502803,Angola
Dondo,-9.690017071,14.43001298,Angola
Sumbe,-11.21002765,13.8499967,Angola
Uige,-7.620014222,15.04997514,Angola
Kuito,-12.38003375,16.93998897,Angola
Lobito,-12.37000853,13.54123002,Angola
Xangongo,-16.74002602,14.96998002,Angola
Luena,-11.79004393,19.90001501,Angola
T�mbua,-15.80003172,11.85998897,Angola
Malanje,-9.540000388,16.34002559,Angola
Benguela,-12.57826455,13.40723303,Angola
Lubango,-14.91000853,13.49001868,Angola
Namibe,-15.19004311,12.16002234,Angola
Menongue,-14.66661253,17.69999426,Angola
Huambo,-12.74998533,15.76000932,Angola
Luanda,-8.838286114,13.23442704,Angola
Artigas Base,-62.17388669,-58.86386407,Antarctica
Capitan Arturo Prat Station,-62.49950682,-59.68331852,Antarctica
Marambio Station,-64.23288939,-56.6500153,Antarctica
Zucchelli Station,-74.61919259,164.2190271,Antarctica
Rothera Station,-67.5647756,-68.12354055,Antarctica
Palmer Station,-64.76241335,-64.0468756,Antarctica
Base Presidente Montalva,-62.18274357,-58.90765233,Antarctica
Carlini Station,-62.22414386,-58.65047599,Antarctica
King Sejong Station,-62.2248534,-58.77159876,Antarctica
Great Wall Station,-62.21631997,-58.9666956,Antarctica
Escudero Base,-62.19496251,-58.95266582,Antarctica
Elephant Island,-61.99958901,-57.99998458,Antarctica
Scott Base,-77.84693819,166.7491023,Antarctica
McMurdo Station,-77.73228239,166.8694157,Antarctica
Zhongshan Station,-69.43406299,76.33929808,Antarctica
Vostok,-78.46628416,106.8000337,Antarctica
Peter I Island,-68.83286701,90.49999508,Antarctica
Mirny Station,-66.57552952,93.00628846,Antarctica
Mawson Station,-67.61452032,62.87500073,Antarctica
Davis Station,-68.77767439,78.14073509,Antarctica
Concordia Research Station,-74.66630939,124.1670357,Antarctica
Casey Station,-66.28608614,110.536214,Antarctica
Amundsen�Scott South Pole Station,-89.98289386,139.2669926,Antarctica
Wasa Station,-73.0496122,-13.41671106,Antarctica
Troll Station,-72.01629026,2.533323119,Antarctica
Svea Station,-74.58290363,-11.21669031,Antarctica
Novolazarevskaya Station,-71.30123475,-11.8502129,Antarctica
Neumayer Station III,-70.89039668,-7.838438004,Antarctica
Maitri Station,-70.7821796,11.7304584,Antarctica
Halley Station,-76.09226319,-26.4741567,Antarctica
Belgrano Station,-77.86632078,-34.61668319,Antarctica
Camp Sobral,-81.17908472,-40.50153152,Antarctica
Aboa Station,-75.04959349,-13.41671106,Antarctica
San Mart�n Station,-68.1163216,-67.0999976,Antarctica
Gen. O'Higgins Station,-63.32841823,-57.88959352,Antarctica
Esperanza Station,-63.37532865,-57.02590151,Antarctica
Orcadas Station,-60.7328963,-44.73330082,Antarctica
Signy Research Station,-60.63130815,-45.60070332,Antarctica
Dumont d'Urville Station,-66.77505091,139.9636836,Antarctica
Showa Station,-69.03039249,39.7460831,Antarctica
Saint John's,17.11803652,-61.85003382,Antigua and Barbuda
